No,Prodi,Angkatan,Kabupaten Sekolah,Propinsi Sekolah,Jalur,Nilai Masuk,IPS 1,IPS 2,IPS 3,IPS 4,IPS 5,IPS 6,IPS 7,IPS 8,SKS 1,SKS 2,SKS 3,SKS 4,SKS 5,SKS 6,SKS 7,SKS 8,Poin,Lama TA,Tgl Masuk USD,Tgl Lulus,Lama Studi Bulan,Lama Studi
1,TI,2011,Palangka Raya,Kalimantan Tengah,Jalur Prestasi Raport ,75.00,1.6,2.15,2.1,2.33,2.25,2.61,1.9,2.57,20,20,20,21,20,18,21,7,11,2,2011-09-01,2017-07-31,70,12
2,TI,2011,Magelang,Jawa Tengah,Gelombang  ,4.80,3.05,3.42,3.06,3.3,3.65,3.43,3.78,3.0,20,24,18,23,23,23,18,8,20,2,2011-09-01,2016-01-29,52,9
3,TI,2011,Semarang,Jawa Tengah,Jalur Kerjasama ,3.20,2.6,2.09,2.6,2.5,3.09,2.71,3.56,4.0,20,22,20,22,22,24,16,12,12,3,2011-09-01,2016-07-29,58,10
4,TI,2011,Cirebon,Jawa Barat,Jalur Prestasi Raport ,77.50,3.45,3.58,3.55,3.43,3.82,3.84,3.44,3.0,20,24,20,21,22,19,16,8,25,2,2011-09-01,2015-08-31,47,9
5,TI,2011,Yogyakarta,Daerah Istimewa Yogyakarta,Gelombang  ,5.10,2.4,2.85,3.25,3.62,3.1,3.35,3.59,3.4,20,20,20,24,20,20,22,11,22,2,2011-09-01,2016-01-29,52,9
6,TI,2011,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,73.40,2.65,2.14,2.15,2.23,2.47,3.0,2.83,2.42,20,22,20,22,19,20,23,18,10,3,2011-09-01,2016-07-29,58,10
7,TI,2011,Wonosobo,Jawa Tengah,Jalur Prestasi Raport ,74.83,3.1,3.41,3.44,3.65,3.47,4.0,3.81,3.5,20,22,18,23,19,19,16,10,12,2,2011-09-01,2016-03-31,54,9
8,TI,2011,Gunung Kidul,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,74.10,2.55,2.5,3.5,2.91,3.62,3.37,3.2,3.71,20,20,18,23,21,19,15,13,14,3,2011-09-01,2016-06-30,57,10
9,TI,2011,Tegal,Jawa Tengah,Jalur Prestasi Raport ,73.42,3.85,3.79,3.85,3.86,3.83,3.86,4.0,4.0,20,24,20,21,24,22,13,6,23,2,2011-09-01,2015-07-31,46,9
10,TI,2011,Yogyakarta,Daerah Istimewa Yogyakarta,Jalur Prestasi Raport ,74.16,3.55,3.5,3.25,3.48,3.67,3.68,3.54,4.0,20,24,20,21,24,19,13,6,43,2,2011-09-01,2015-07-31,46,9
